title,id,release_date,overview,genres,poster_url,backdrop_url,local_poster_path,local_banner_path
Red One,845781,2024-10-31,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.","Action, Fantasy, Comedy, Adventure",https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,https://image.tmdb.org/t/p/w500/rOmUuQEZfPXglwFs5ELLLUDKodL.jpg,movie_images\posters\845781_Red_One_poster.jpg,movie_images\banners\845781_Red_One_banner.jpg
Nosferatu,426063,2024-12-25,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","Horror, Fantasy",https://image.tmdb.org/t/p/w500/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,https://image.tmdb.org/t/p/w500/h7r6LZ32dgLwtwSW3CxoWIYD9pr.jpg,movie_images\posters\426063_Nosferatu_poster.jpg,movie_images\banners\426063_Nosferatu_banner.jpg
Kraven the Hunter,539972,2024-12-11,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.","Action, Science Fiction, Adventure, Fantasy, Thriller",https://image.tmdb.org/t/p/w500/nrlfJoxP1EkBVE9pU62L287Jl4D.jpg,https://image.tmdb.org/t/p/w500/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,movie_images\posters\539972_Kraven_the_Hunter_poster.jpg,movie_images\banners\539972_Kraven_the_Hunter_banner.jpg
Venom: The Last Dance,912649,2024-10-22,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","Action, Science Fiction, Adventure",https://image.tmdb.org/t/p/w500/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,https://image.tmdb.org/t/p/w500/vZG7PrX9HmdgL5qfZRjhJsFYEIA.jpg,movie_images\posters\912649_Venom:_The_Last_Dance_poster.jpg,movie_images\banners\912649_Venom:_The_Last_Dance_banner.jpg
Heretic,1138194,2024-10-31,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.","Horror, Thriller",https://image.tmdb.org/t/p/w500/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg,https://image.tmdb.org/t/p/w500/ag66gJCiZ06q1GSJuQlhGLi3Udx.jpg,movie_images\posters\1138194_Heretic_poster.jpg,movie_images\banners\1138194_Heretic_banner.jpg
The Substance,933260,2024-09-07,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","Horror, Science Fiction",https://image.tmdb.org/t/p/w500/lqoMzCcZYEFK729d6qzt349fB4o.jpg,https://image.tmdb.org/t/p/w500/8dqZsevb5E8x29OFyr1neSp7bc9.jpg,movie_images\posters\933260_The_Substance_poster.jpg,movie_images\banners\933260_The_Substance_banner.jpg
My Fault,1010581,2023-06-08,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","Romance, Drama",https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,https://image.tmdb.org/t/p/w500/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,movie_images\posters\1010581_My_Fault_poster.jpg,movie_images\banners\1010581_My_Fault_banner.jpg
Smile 2,1100782,2024-10-16,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.","Horror, Mystery",https://image.tmdb.org/t/p/w500/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg,https://image.tmdb.org/t/p/w500/iR79ciqhtaZ9BE7YFA1HpCHQgX4.jpg,movie_images\posters\1100782_Smile_2_poster.jpg,movie_images\banners\1100782_Smile_2_banner.jpg
Raiders of the Lost Ark,85,1981-06-12,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","Adventure, Action",https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,https://image.tmdb.org/t/p/w500/ueDw7djPgKPZfph0vC43aD2EMyF.jpg,movie_images\posters\85_Raiders_of_the_Lost_Ark_poster.jpg,movie_images\banners\85_Raiders_of_the_Lost_Ark_banner.jpg
The Wild Robot,1184918,2024-09-12,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","Animation, Action, Science Fiction, Family",https://image.tmdb.org/t/p/w500/9w0Vh9eizfBXrcomiaFWTIPdboo.jpg,https://image.tmdb.org/t/p/w500/1pmXyN3sKeYoUhu5VBZiDU4BX21.jpg,movie_images\posters\1184918_The_Wild_Robot_poster.jpg,movie_images\banners\1184918_The_Wild_Robot_banner.jpg
Dances with Wolves,581,1990-03-30,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","Adventure, Drama, Western",https://image.tmdb.org/t/p/w500/hw0ZEHAaTqTxSXGVwUFX7uvanSA.jpg,https://image.tmdb.org/t/p/w500/ywWva4trKw7f3wtbz81Fe3FnrtC.jpg,movie_images\posters\581_Dances_with_Wolves_poster.jpg,movie_images\banners\581_Dances_with_Wolves_banner.jpg
Jojo Rabbit,515001,2019-10-18,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.","Comedy, War, Drama",https://image.tmdb.org/t/p/w500/7GsM4mtM0worCtIVeiQt28HieeN.jpg,https://image.tmdb.org/t/p/w500/oT2DbUVEUc1AIgBBJwVl3hm0ID6.jpg,movie_images\posters\515001_Jojo_Rabbit_poster.jpg,movie_images\banners\515001_Jojo_Rabbit_banner.jpg
Dragon Ball Z: Battle of Gods,126963,2013-03-30,"The events of Battle of Gods take place some years after the battle with Majin Buu, which determined the fate of the entire universe. After awakening from a long slumber, Beerus, the God of Destruction is visited by Whis, his attendant and learns that the galactic overlord Frieza has been defeated by a Super Saiyan from the North Quadrant of the universe named Goku, who is also a former student of the North Kai. Ecstatic over the new challenge, Goku ignores King Kai's advice and battles Beerus, but he is easily overwhelmed and defeated. Beerus leaves, but his eerie remark of ""Is there nobody on Earth more worthy to destroy?"" lingers on. Now it is up to the heroes to stop the God of Destruction before all is lost.","Animation, Action, Science Fiction",https://image.tmdb.org/t/p/w500/nxZEdYcHMuD8SSuwusDnK9CD2H1.jpg,https://image.tmdb.org/t/p/w500/7fVH3iPculxmygNnm1W3FAQFAo7.jpg,movie_images\posters\126963_Dragon_Ball_Z:_Battle_of_Gods_poster.jpg,movie_images\banners\126963_Dragon_Ball_Z:_Battle_of_Gods_banner.jpg
Blade II,36586,2002-03-22,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.","Fantasy, Horror, Action, Thriller",https://image.tmdb.org/t/p/w500/azzTa03g0Fb8HC7O3521qq0oc8Q.jpg,https://image.tmdb.org/t/p/w500/ftVcl83v6RlH0yiK1Ubkw70VwIf.jpg,movie_images\posters\36586_Blade_II_poster.jpg,movie_images\banners\36586_Blade_II_banner.jpg
Cannibal Holocaust,8689,1980-02-07,A New York University professor returns from a rescue mission to the Amazon rainforest with the footage shot by a lost team of documentarians who were making a film about the area's local cannibal tribes.,Horror,https://image.tmdb.org/t/p/w500/otxZzMh53TsN7yYFqSZ3rwH1yMd.jpg,https://image.tmdb.org/t/p/w500/i7oL4aodmX5aXw8s9dpAYRjHMLF.jpg,movie_images\posters\8689_Cannibal_Holocaust_poster.jpg,movie_images\banners\8689_Cannibal_Holocaust_banner.jpg
Contact,686,1997-07-11,"A radio astronomer receives the first extraterrestrial radio signal ever picked up on Earth. As the world powers scramble to decipher the message and decide upon a course of action, she must make some difficult decisions between her beliefs, the truth, and reality.","Drama, Science Fiction, Mystery",https://image.tmdb.org/t/p/w500/bCpMIywuNZeWt3i5UMLEIc0VSwM.jpg,https://image.tmdb.org/t/p/w500/yFkUPqBuUnbhYbQL8VFpTrAT9za.jpg,movie_images\posters\686_Contact_poster.jpg,movie_images\banners\686_Contact_banner.jpg
Scream 4,41446,2011-04-13,"Ten years have passed, and Sidney Prescott has put herself back together thanks to her writing. However, her return to Woodsboro sparks the return of the Ghostface Killer.","Horror, Mystery",https://image.tmdb.org/t/p/w500/tcrI37K98TVopLbcZBa55mWhLT1.jpg,https://image.tmdb.org/t/p/w500/c5EmNhLQsTTKAyUHULnKYQjlloz.jpg,movie_images\posters\41446_Scream_4_poster.jpg,movie_images\banners\41446_Scream_4_banner.jpg
EuroTrip,9352,2004-02-20,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",Comedy,https://image.tmdb.org/t/p/w500/iLdO4PwbZCCQSa9rchZMwuJm9xe.jpg,https://image.tmdb.org/t/p/w500/kCMjZkgBDUD30He50KhoVtgiM2z.jpg,movie_images\posters\9352_EuroTrip_poster.jpg,movie_images\banners\9352_EuroTrip_banner.jpg
Snake Eyes: G.I. Joe Origins,568620,2021-07-22,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.","Action, Adventure",https://image.tmdb.org/t/p/w500/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg,https://image.tmdb.org/t/p/w500/2OFg5p9yarI5zZsUWKCRgBgPctj.jpg,movie_images\posters\568620_Snake_Eyes:_G.I._Joe_Origins_poster.jpg,movie_images\banners\568620_Snake_Eyes:_G.I._Joe_Origins_banner.jpg
Monty Python and the Holy Grail,762,1975-03-14,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","Adventure, Comedy, Fantasy",https://image.tmdb.org/t/p/w500/hWx1ANiWEWWyzKPN0us35HCGnhQ.jpg,https://image.tmdb.org/t/p/w500/1KgXxv6tHXOnakqYvMPvFwYKWiw.jpg,movie_images\posters\762_Monty_Python_and_the_Holy_Grail_poster.jpg,movie_images\banners\762_Monty_Python_and_the_Holy_Grail_banner.jpg
