title,id,release_date,overview,genres,poster_url,backdrop_url
The Chronicles of Prydain,530082,,"Adaptation of Lloyd Alexander's 1960's novel series of the same name, the same source as Disney's 1985 film The Black Cauldron.",Fantasy,https://image.tmdb.org/t/p/w500/cCy6Gnuzljv1ozdmJvNL4FhyMMS.jpg,
Penelope,1002635,,A twist on the fairy tale of the Princess and the Pea.,Fantasy,,
Spooked,727337,,A Halloween night goes awry as trick or treaters are transformed into whatever costume they are wearing.,"Comedy, Fantasy, Horror",,
Big Thunder Mountain,1013614,,Plot unknown. Takes place in a mining town during the Gold Rush of the 1800s.,,https://image.tmdb.org/t/p/w500/eSpuXFSWvvf5GB5hdurx5rLXS51.jpg,
The AristoCats,929343,,A live-action/CGI hybrid adaptation of the classic animated film 'The AristoCats'.,"Family, Comedy, Adventure",https://image.tmdb.org/t/p/w500/pdIR9ewxs6zNWyyzbYOvuU7ZUMY.jpg,https://image.tmdb.org/t/p/w500/sPMxOaj8CwX4oALD0Z4Ujv2zTBl.jpg
1001 Nights,1033978,,"Inspired by the classic Middle East folk tale collection, One Thousand And One Nights, aka Arabian Nights.",Fantasy,,
Genies,618177,,"The story behind how the genie from Disney's""Aladdin""became trapped inside a magic lamp.",Comedy,https://image.tmdb.org/t/p/w500/3wsx1awsLI4n2OqaznIIBq4T7si.jpg,
Oilspot and Lipstick,374484,1987-07-28,"An experimental film from Disney's first computer graphics artists tells the story of Oilspot, a mechanical junkyard dog made of spare parts, who mistakenly wakes a junk monster. When the monster grabs his girlfriend, Lipstick, he rushes to her rescue.",Animation,https://image.tmdb.org/t/p/w500/qcofkDNfjbBmp2Za1vZwFmieH24.jpg,https://image.tmdb.org/t/p/w500/2R9a2YT6H9GgG8L1sbGfs7JYQQz.jpg
Donald Loves Daisy,285319,1988-11-11,,Animation,,https://image.tmdb.org/t/p/w500/foI4Hq0Ixjj7hm9QO2S9U78lzuq.jpg
Wolf Totem,417613,,,Animation,,
One by One,28133,2004-08-31,In a place in Africa we follow a group of children preparing their kites for an adventure of their life.  The short was intended to be one of the segments for the proposed but never completed Fantasia 2006.,Animation,https://image.tmdb.org/t/p/w500/z8JQUkGq9LxUvN1qadW9Z2nXlfC.jpg,https://image.tmdb.org/t/p/w500/yYj6Ulc4TOXkl55GgLHcOVMjF4W.jpg
